institution_name,ranking
Harvard University,1
Ragon Institute of MGH MIT and Harvard,1
Harvard Global Health Institute,1
Harvard Stem Cell Institute,1
Botswana Harvard AIDS Institute Partnership,1
Harvardâ€“MIT Division of Health Sciences and Technology,1
Harvard College Observatory,1
Dana-Farber/Harvard Cancer Center,1
Harvard Affiliated Emergency Medicine Residency,1
Max Planck - Harvard Research Center for the Archaeoscience of the Ancient Mediterranean,1
Harvard NeuroDiscovery Center,1
MIT-Harvard Center for Ultracold Atoms,1
Massachusetts Institute of Technology,2
Koch Institute for Integrative Cancer Research At MIT,2
Stanford University,3
Stanford Medicine,3
Stanford Health Care,3
Stanford Cancer Institute,3
Stanford Blood Center,3
University of Oxford,4
Oxford University Hospitals NHS Trust,4
Mahidol Oxford Tropical Medicine Research Unit,4
Oxford University Clinical Research Unit,4
Oxford Health NHS Foundation Trust,4
Oxford Centre for Computational Neuroscience,4
Oxford Centre for Diabetes Endocrinology and Metabolism,4
Oxford University Clinical Research Unit Indonesia,4
CRUK/MRC Oxford Institute for Radiation Oncology,4
Lao-Oxford-Mahosot Hospital-Wellcome Trust Research Unit,4
Oxford University Clinical Research Unit Nepal,4
Myanmar Oxford Clinical Research Unit,4
Cancer Research UK Oxford Centre,4
University of Cambridge,5
Cambridge University Hospitals NHS Foundation Trust,5
Cancer Research UK Cambridge Center,5
NIHR Cambridge Biomedical Research Centre,5
Wellcome/MRC Cambridge Stem Cell Institute,5
Yale University,6
Yale Cancer Center,6
Yale Peabody Museum,6
Johns Hopkins University,7
Johns Hopkins Medicine,7
Johns Hopkins University Applied Physics Laboratory,7
Johns Hopkins Hospital,7
Johns Hopkins All Children's Hospital,7
Johns Hopkins Bayview Medical Center,7
Johns Hopkins University School of Advanced International Studies,7
Johns Hopkins Center for Health Security,7
Johns Hopkins University Center for AIDS Research,7
Johns Hopkins Berman Institute of Bioethics,7
University of California Berkeley,8
University of California San Francisco,9
University of California San Francisco Medical Center,9
Imperial College London,10
University of California San Diego,11
University of California San Diego Medical Center,11
University of California Los Angeles,12
ETH Zurich,13
Cornell University,14
National University of Singapore,15
University College London,16
University College London Hospitals NHS Foundation Trust,16
Columbia University,17
Columbia University Irving Medical Center,17
California Institute of Technology,18
University of Pennsylvania,19
Hospital of the University of Pennsylvania,19
University of Pennsylvania Health System,19
Tsinghua University,20
University of Chicago,21
University of Chicago Medical Center,21
University of Chicago Medicine Comprehensive Cancer Center,21
University of Chicago Research Bangladesh,21
University of Toronto,22
University of Edinburgh,23
Princeton University,24
Peking University,25
Peking University Shenzhen Hospital,25
Peking University People's Hospital,25
Peking University First Hospital,25
Karolinska Institutet,26
The University of Tokyo,27
University of Washington,28
University of Washington Medical Center,28
University of Washington Bothell,28
University of Washington Tacoma,28
University of Washington Applied Physics Laboratory,28
University of Copenhagen,29
Nanyang Technological University,30