ranking,university
1,Harvard
2,MIT
3,Stanford
4,Oxford
5,Cambridge
6,Yale
7,Johns Hopkins
8,University of California Berkeley
9,University of California San Francisco
10,Imperial College London
11,University of California San Diego
12,University of California Los Angeles
13,ETH Zurich
14,Cornell University
15,National University of Singapore
16,University College London
17,Columbia University
18,California Institute of Technology
19,University of Pennsylvania
20,Tsinghua University
21,University of Chicago
22,University of Toronto
23,University of Edinburgh
24,Princeton University
25,Peking University
26,Karolinska Institute
27,The University of Tokyo
28,University of Washington
29,University of Copenhagen
30,Nanyang Technological University